time_s,V_V,I_A,P_W,Q_VAR,S_VA,FP
76500.0,118.2803,179.0327,17276.0715,12245.8927,21176.0368,0.8158
77400.0,118.3942,156.9706,14890.7857,11119.5652,18584.4083,0.8013
78300.0,118.5867,135.9858,13028.0896,9503.7018,16126.1113,0.8079
79200.0,118.5002,111.8242,10619.4414,7926.0098,13251.1949,0.8014
80100.0,119.3668,101.2221,9649.6819,7271.3051,12082.5593,0.7986
81000.0,119.8581,94.5294,8975.9299,6914.0654,11330.1199,0.7922
81900.0,120.2761,86.9553,8401.6719,6228.5667,10458.6392,0.8033
82800.0,120.5696,77.0867,7500.4777,5488.8050,9294.3072,0.8070
83700.0,121.2906,76.8445,7475.0910,5567.3074,9320.5095,0.8020
84600.0,121.4621,73.9728,7235.7268,5326.5928,8984.8947,0.8053
85500.0,121.9737,76.9397,7483.0151,5663.5332,9384.6216,0.7974
